var,name,mean,lwr,upr,string
Peak Ct,First Infection,25.6,24.6,26.6,"25.6 (24.6, 26.6)"
Peak Ct,Second Infection,26.8,25.6,27.8,"26.8 (25.6, 27.8)"
Peak GEML,First Infection,6.6,6.4,6.9,"6.6 (6.4, 6.9)"
Peak GEML,Second Infection,6.3,6,6.6,"6.3 (6, 6.6)"
Proliferation time,First Infection,4.8,4.1,5.6,"4.8 (4.1, 5.6)"
Proliferation time,Second Infection,4.1,3.3,5,"4.1 (3.3, 5)"
Clearance time,First Infection,9.2,8.4,10,"9.2 (8.4, 10)"
Clearance time,Second Infection,6.5,5.7,7.3,"6.5 (5.7, 7.3)"
Proliferation rate (Ct/day),First Infection,3,2.5,3.6,"3 (2.5, 3.6)"
Proliferation rate (Ct/day),Second Infection,3.2,2.6,4,"3.2 (2.6, 4)"
Clearance rate (Ct/day),First Infection,1.6,1.4,1.8,"1.6 (1.4, 1.8)"
Clearance rate (Ct/day),Second Infection,2,1.8,2.4,"2 (1.8, 2.4)"
Symmetry (proliferation/clearance),First Infection,0.5,0.4,0.6,"0.5 (0.4, 0.6)"
Symmetry (proliferation/clearance),Second Infection,0.6,0.5,0.8,"0.6 (0.5, 0.8)"
