var,name,mean,lwr,upr,string
Peak Ct,Unpaired second infections,28.8,27,30.5,"28.8 (27, 30.5)"
Peak Ct,Not vaccinated/Not boosted,21.6,-35.9,38.3,"21.6 (-35.9, 38.3)"
Peak Ct,Not vaccinated/Boost unknown,28.6,20.2,34.2,"28.6 (20.2, 34.2)"
Peak Ct,Vaccinated/Not boosted,27.7,24.2,30.7,"27.7 (24.2, 30.7)"
Peak Ct,Vaccinated/Boosted,30,28,31.8,"30 (28, 31.8)"
Peak Ct,Vaccinated/Boost unknown,31.1,27.8,33.7,"31.1 (27.8, 33.7)"
Peak Ct,Unknown,28.7,25.6,31.5,"28.7 (25.6, 31.5)"
Peak GEML,Unpaired second infections,5.8,5.3,6.3,"5.8 (5.3, 6.3)"
Peak GEML,Not vaccinated/Not boosted,7.8,3.1,23.7,"7.8 (3.1, 23.7)"
Peak GEML,Not vaccinated/Boost unknown,5.8,4.3,8.2,"5.8 (4.3, 8.2)"
Peak GEML,Vaccinated/Not boosted,6.1,5.2,7,"6.1 (5.2, 7)"
Peak GEML,Vaccinated/Boosted,5.4,4.9,6,"5.4 (4.9, 6)"
Peak GEML,Vaccinated/Boost unknown,5.1,4.4,6,"5.1 (4.4, 6)"
Peak GEML,Unknown,5.8,5,6.6,"5.8 (5, 6.6)"
Proliferation time,Unpaired second infections,4.9,3,7.6,"4.9 (3, 7.6)"
Proliferation time,Not vaccinated/Not boosted,8.1,0.6,39.4,"8.1 (0.6, 39.4)"
Proliferation time,Not vaccinated/Boost unknown,6.1,1.6,18.7,"6.1 (1.6, 18.7)"
Proliferation time,Vaccinated/Not boosted,4.1,2,7.9,"4.1 (2, 7.9)"
Proliferation time,Vaccinated/Boosted,4.7,2.5,8.1,"4.7 (2.5, 8.1)"
Proliferation time,Vaccinated/Boost unknown,6.9,2.2,17.2,"6.9 (2.2, 17.2)"
Proliferation time,Unknown,4.5,2.1,8.6,"4.5 (2.1, 8.6)"
Clearance time,Unpaired second infections,5.9,4.6,7.6,"5.9 (4.6, 7.6)"
Clearance time,Not vaccinated/Not boosted,10.2,0.8,44.5,"10.2 (0.8, 44.5)"
Clearance time,Not vaccinated/Boost unknown,5.5,1.8,12.9,"5.5 (1.8, 12.9)"
Clearance time,Vaccinated/Not boosted,5.4,3.4,8.1,"5.4 (3.4, 8.1)"
Clearance time,Vaccinated/Boosted,5.9,4.3,8,"5.9 (4.3, 8)"
Clearance time,Vaccinated/Boost unknown,4.6,2.5,7.6,"4.6 (2.5, 7.6)"
Clearance time,Unknown,5.7,3.6,8.9,"5.7 (3.6, 8.9)"
Proliferation rate (Ct/day),Unpaired second infections,2.5,1.4,4,"2.5 (1.4, 4)"
Proliferation rate (Ct/day),Not vaccinated/Not boosted,6.7,0.2,36.7,"6.7 (0.2, 36.7)"
Proliferation rate (Ct/day),Not vaccinated/Boost unknown,2.9,0.5,8.7,"2.9 (0.5, 8.7)"
Proliferation rate (Ct/day),Vaccinated/Not boosted,3.3,1.4,6.7,"3.3 (1.4, 6.7)"
Proliferation rate (Ct/day),Vaccinated/Boosted,2.3,1.1,4.3,"2.3 (1.1, 4.3)"
Proliferation rate (Ct/day),Vaccinated/Boost unknown,1.7,0.4,4.3,"1.7 (0.4, 4.3)"
Proliferation rate (Ct/day),Unknown,2.9,1.1,5.9,"2.9 (1.1, 5.9)"
Clearance rate (Ct/day),Unpaired second infections,1.9,1.4,2.6,"1.9 (1.4, 2.6)"
Clearance rate (Ct/day),Not vaccinated/Not boosted,5.6,0.1,33.4,"5.6 (0.1, 33.4)"
Clearance rate (Ct/day),Not vaccinated/Boost unknown,2.7,0.7,6.8,"2.7 (0.7, 6.8)"
Clearance rate (Ct/day),Vaccinated/Not boosted,2.4,1.4,3.8,"2.4 (1.4, 3.8)"
Clearance rate (Ct/day),Vaccinated/Boosted,1.7,1.2,2.5,"1.7 (1.2, 2.5)"
Clearance rate (Ct/day),Vaccinated/Boost unknown,2.1,1.1,3.8,"2.1 (1.1, 3.8)"
Clearance rate (Ct/day),Unknown,2.1,1.1,3.3,"2.1 (1.1, 3.3)"
Symmetry (proliferation/clearance),Unpaired second infections,0.8,0.5,1.4,"0.8 (0.5, 1.4)"
Symmetry (proliferation/clearance),Not vaccinated/Not boosted,2.7,0,20.1,"2.7 (0, 20.1)"
Symmetry (proliferation/clearance),Not vaccinated/Boost unknown,1.6,0.2,7.1,"1.6 (0.2, 7.1)"
Symmetry (proliferation/clearance),Vaccinated/Not boosted,0.8,0.3,1.8,"0.8 (0.3, 1.8)"
Symmetry (proliferation/clearance),Vaccinated/Boosted,0.8,0.4,1.6,"0.8 (0.4, 1.6)"
Symmetry (proliferation/clearance),Vaccinated/Boost unknown,1.7,0.4,5,"1.7 (0.4, 5)"
Symmetry (proliferation/clearance),Unknown,0.8,0.3,1.8,"0.8 (0.3, 1.8)"
