var,name,mean,lwr,upr,string
Peak Ct,Unpaired second infections,28.7,26.9,30.2,"28.7 (26.9, 30.2)"
Peak Ct,Not vaccinated/Not boosted,21.4,-42.2,38.6,"21.4 (-42.2, 38.6)"
Peak Ct,Not vaccinated/Boost unknown,28.4,20.1,34.1,"28.4 (20.1, 34.1)"
Peak Ct,Vaccinated/Not boosted,27.6,24.4,30.4,"27.6 (24.4, 30.4)"
Peak Ct,Vaccinated/Boosted,29.9,28,31.7,"29.9 (28, 31.7)"
Peak Ct,Vaccinated/Boost unknown,31,28,33.5,"31 (28, 33.5)"
Peak Ct,Unknown,28.7,25.7,31.3,"28.7 (25.7, 31.3)"
Peak GEML,Unpaired second infections,5.8,5.4,6.3,"5.8 (5.4, 6.3)"
Peak GEML,Not vaccinated/Not boosted,7.8,3.1,25.4,"7.8 (3.1, 25.4)"
Peak GEML,Not vaccinated/Boost unknown,5.9,4.3,8.2,"5.9 (4.3, 8.2)"
Peak GEML,Vaccinated/Not boosted,6.1,5.3,7,"6.1 (5.3, 7)"
Peak GEML,Vaccinated/Boosted,5.4,5,6,"5.4 (5, 6)"
Peak GEML,Vaccinated/Boost unknown,5.1,4.5,6,"5.1 (4.5, 6)"
Peak GEML,Unknown,5.8,5.1,6.6,"5.8 (5.1, 6.6)"
Proliferation time,Unpaired second infections,4.8,3,7.4,"4.8 (3, 7.4)"
Proliferation time,Not vaccinated/Not boosted,7.9,0.7,33.6,"7.9 (0.7, 33.6)"
Proliferation time,Not vaccinated/Boost unknown,5.8,1.5,17,"5.8 (1.5, 17)"
Proliferation time,Vaccinated/Not boosted,4.1,2.1,7.6,"4.1 (2.1, 7.6)"
Proliferation time,Vaccinated/Boosted,4.6,2.5,7.9,"4.6 (2.5, 7.9)"
Proliferation time,Vaccinated/Boost unknown,6.7,2.2,16.5,"6.7 (2.2, 16.5)"
Proliferation time,Unknown,4.5,2.1,8.5,"4.5 (2.1, 8.5)"
Clearance time,Unpaired second infections,5.9,4.6,7.4,"5.9 (4.6, 7.4)"
Clearance time,Not vaccinated/Not boosted,9.7,0.8,41,"9.7 (0.8, 41)"
Clearance time,Not vaccinated/Boost unknown,5.5,1.8,12.2,"5.5 (1.8, 12.2)"
Clearance time,Vaccinated/Not boosted,5.4,3.5,8.1,"5.4 (3.5, 8.1)"
Clearance time,Vaccinated/Boosted,5.8,4.1,7.9,"5.8 (4.1, 7.9)"
Clearance time,Vaccinated/Boost unknown,4.6,2.6,7.8,"4.6 (2.6, 7.8)"
Clearance time,Unknown,5.7,3.5,8.6,"5.7 (3.5, 8.6)"
Proliferation rate (Ct/day),Unpaired second infections,2.5,1.4,4,"2.5 (1.4, 4)"
Proliferation rate (Ct/day),Not vaccinated/Not boosted,7.3,0.1,45.4,"7.3 (0.1, 45.4)"
Proliferation rate (Ct/day),Not vaccinated/Boost unknown,3,0.5,8.8,"3 (0.5, 8.8)"
Proliferation rate (Ct/day),Vaccinated/Not boosted,3.4,1.5,6.5,"3.4 (1.5, 6.5)"
Proliferation rate (Ct/day),Vaccinated/Boosted,2.4,1.2,4.2,"2.4 (1.2, 4.2)"
Proliferation rate (Ct/day),Vaccinated/Boost unknown,1.8,0.5,4.5,"1.8 (0.5, 4.5)"
Proliferation rate (Ct/day),Unknown,2.9,1.2,5.9,"2.9 (1.2, 5.9)"
Clearance rate (Ct/day),Unpaired second infections,2,1.4,2.6,"2 (1.4, 2.6)"
Clearance rate (Ct/day),Not vaccinated/Not boosted,5.3,0.1,33,"5.3 (0.1, 33)"
Clearance rate (Ct/day),Not vaccinated/Boost unknown,2.6,0.7,6.7,"2.6 (0.7, 6.7)"
Clearance rate (Ct/day),Vaccinated/Not boosted,2.4,1.4,3.8,"2.4 (1.4, 3.8)"
Clearance rate (Ct/day),Vaccinated/Boosted,1.8,1.2,2.5,"1.8 (1.2, 2.5)"
Clearance rate (Ct/day),Vaccinated/Boost unknown,2.1,1.1,3.8,"2.1 (1.1, 3.8)"
Clearance rate (Ct/day),Unknown,2.1,1.2,3.5,"2.1 (1.2, 3.5)"
Symmetry (proliferation/clearance),Unpaired second infections,0.8,0.5,1.4,"0.8 (0.5, 1.4)"
Symmetry (proliferation/clearance),Not vaccinated/Not boosted,2.2,0,13.2,"2.2 (0, 13.2)"
Symmetry (proliferation/clearance),Not vaccinated/Boost unknown,1.4,0.2,5.1,"1.4 (0.2, 5.1)"
Symmetry (proliferation/clearance),Vaccinated/Not boosted,0.8,0.3,1.7,"0.8 (0.3, 1.7)"
Symmetry (proliferation/clearance),Vaccinated/Boosted,0.8,0.4,1.6,"0.8 (0.4, 1.6)"
Symmetry (proliferation/clearance),Vaccinated/Boost unknown,1.6,0.4,4.3,"1.6 (0.4, 4.3)"
Symmetry (proliferation/clearance),Unknown,0.9,0.3,1.9,"0.9 (0.3, 1.9)"
